"Маркерный запрос";"Фраза";"Частота";"Источник фразы"
"";"детский лофт";"4215";"Исходная фраза"
"интерьер детской лофт";"лофт детская";"4215";"Подсказки Яндекс"
"детский лофт";"детская в стиле лофт";"1067";"Яндекс.Wordstat"
"детский лофт";"лофт для детского дня";"712";"Яндекс.Wordstat"
"детский лофт";"лофт для детского дня рождения";"692";"Яндекс.Wordstat"
"интерьер детской лофт";"детская комната лофт";"444";"Подсказки Яндекс"
"лофт с детской зоной";"лофт с детской комнатой";"444";"Подсказки Яндекс"
"детский лофт";"детский лофт москва";"424";"Яндекс.Wordstat"
"детский лофт";"лофт для детского праздника";"386";"Яндекс.Wordstat"
"детский лофт";"лофт в детской комнате";"290";"Яндекс.Wordstat"
"лофт в детской комнате";"стиль лофт в детской комнате";"233";"Подсказки Яндекс"
"детский лофт";"детская комната в стиле лофт";"217";"Яндекс.Wordstat"
"детский лофт";"детские лофт аренда";"207";"Яндекс.Wordstat"
"детский лофт москва";"лофт на детский день рождения москва";"182";"Подсказки Яндекс"
"лофт для детского дня рождения москва";"лофт в москве для детского дня рождения";"182";"Подсказки Яндекс"
"детский лофт";"лофт для детского дня рождения москва";"169";"Яндекс.Wordstat"
"детский лофт";"детский лофт спб";"154";"Яндекс.Wordstat"
"детский лофт";"дизайн детской лофт";"129";"Яндекс.Wordstat"
"дизайн детской лофт";"дизайн лофт детской";"129";"Подсказки Яндекс"
"лофт для детского праздника";"лофт для детского праздника москва";"125";"Подсказки Яндекс"
"аренда лофта для детского праздника";"лофты для детского праздника москва";"125";"Подсказки Яндекс"
"детский лофт";"детские лофты для праздника москва";"119";"Яндекс.Wordstat"
"детский лофт";"детский лофт облака";"114";"Яндекс.Wordstat"
"детский лофт";"детский лофт новосибирск";"111";"Яндекс.Wordstat"
"детский лофт";"детская лофт для мальчика";"108";"Яндекс.Wordstat"
"детский лофт";"детская мебель лофт";"96";"Яндекс.Wordstat"
"детская мебель лофт";"лофт мебель детская";"96";"Подсказки Яндекс"
"детский лофт";"интерьер детской лофт";"88";"Яндекс.Wordstat"
"детский лофт";"детская для мальчика в стиле лофт";"78";"Яндекс.Wordstat"
