"Маркерный запрос";"Фраза";"Частота";"Источник фразы"
"детский пол";"детский поле";"33500";"Яндекс.Wordstat"
"";"детский пол";"26114";"Исходная фраза"
"детский поле";"поли детская";"9619";"Яндекс.Wordstat"
"поли детская";"детская поли";"9619";"Подсказки Яндекс"
"детский пол";"полы детских садов";"3739";"Яндекс.Wordstat"
"пол в детской комнате";"пол в детской комнате что";"3438";"Подсказки Яндекс"
"детский поле";"детский трактор по полям";"3118";"Яндекс.Wordstat"
"детский пол";"детский мягкий пол";"3014";"Подсказки Яндекс"
"детские коврики на пол";"коврики детские на пол";"2875";"Подсказки Яндекс"
"детская песенка по полям";"детская песенка по полям по полям";"2853";"Подсказки Яндекс"
"детский пол";"поле в детском саду";"2803";"Яндекс.Wordstat"
"детский поле";"едет трактор по полям детские";"2758";"Яндекс.Wordstat"
"детский пол";"детские коврики на пол";"2731";"Яндекс.Wordstat"
"детский поле";"детская песенка по полям";"2607";"Яндекс.Wordstat"
"поле в детском саду";"полы в детских садах";"2409";"Яндекс.Wordstat"
"детский поле";"поли сад детский сад";"2225";"Яндекс.Wordstat"
"детский пол";"мягкий пол для детских";"2192";"Яндекс.Wordstat"
"едет трактор по полям детские";"едет трактор по полям детские песенки";"2180";"Подсказки Яндекс"
"детская песенка по полям";"детская песенка по полям едет трактор";"2180";"Подсказки Яндекс"
"детские песни по полям едет";"детские песенки едет трактор по полям";"2180";"Подсказки Яндекс"
"детский поле";"детская песенка едет трактор по полям";"2179";"Яндекс.Wordstat"
"детский пол";"купить детский пол";"2150";"Яндекс.Wordstat"
"детский пол";"поле песня детская";"2093";"Яндекс.Wordstat"
"детский поле";"детская песенка по полям по полям синий";"2023";"Яндекс.Wordstat"
"детская песенка по полям по полям синий";"детская песенка по полям по полям синий трактор";"2023";"Подсказки Яндекс"
"детский поле";"синий трактор по полям детские песенки";"2017";"Яндекс.Wordstat"
"детские песни по полям";"детские песни по полям по полям";"1978";"Подсказки Яндекс"
"детский поле";"детская песенка синий трактор едет по полям";"1944";"Яндекс.Wordstat"
"детская песенка по полям";"детская песенка по полям по полям синий трактор едет к нам";"1944";"Подсказки Яндекс"
"детская песенка по полям";"детская песенка по полям синий трактор едет к нам";"1944";"Подсказки Яндекс"
"детская песенка по полям";"детская песенка по полям по полям едет синий трактор к нам";"1944";"Подсказки Яндекс"
"синий трактор по полям детские песенки";"детские песенки по полям синий трактор едет к нам";"1944";"Подсказки Яндекс"
"пол в детской комнате";"пол в детской комнате мягкие";"1887";"Подсказки Яндекс"
"детская песенка по полям";"по полям синий трактор едет к нам веселая детская песенка";"1846";"Подсказки Яндекс"
"детский пол";"мягкий пол для детских комнат";"1720";"Яндекс.Wordstat"
"детский пол";"пол в детской комнате";"1508";"Яндекс.Wordstat"
"детский пол";"детская пол ка";"1285";"Яндекс.Wordstat"
"детский поле";"поли детские песни";"1035";"Яндекс.Wordstat"
"детский пол";"детский ковер на пол";"1009";"Яндекс.Wordstat"
"детский пол";"детское поле чудес";"996";"Яндекс.Wordstat"
"детский поле";"детские песни по полям";"984";"Яндекс.Wordstat"
"детский пол";"детская игра поле";"918";"Яндекс.Wordstat"
