"Маркерный запрос";"Фраза";"Частота";"Источник фразы"
"";"кровать домик";"32347";"Исходная фраза"
"кровать домик";"детская кровать домик";"6945";"Яндекс.Wordstat"
"детские деревянные кровати домики";"детские домики кровать";"6945";"Подсказки Яндекс"
"кровать домик";"кровать домик для детей";"4470";"Яндекс.Wordstat"
"кровать домик";"кровать домик купить";"4460";"Яндекс.Wordstat"
"кровать домик";"двухъярусная кровать домик";"3342";"Яндекс.Wordstat"
"кровать домик";"кровать домик двухъярусная";"3342";"Подсказки Яндекс"
"кровать домик";"кровать домик своими руками";"2321";"Яндекс.Wordstat"
"кровать домик";"кровать домик чертеж";"1120";"Яндекс.Wordstat"
"кровать домик";"детская кровать домик купить";"1105";"Яндекс.Wordstat"
"детские деревянные кровати домики";"детские кровать домики купить";"1105";"Подсказки Яндекс"
"кровать домик";"кровать домик для девочки";"1086";"Яндекс.Wordstat"
"кровать домик";"кровати домики москва";"919";"Яндекс.Wordstat"
"кровать домик";"кровать в виде домика";"859";"Яндекс.Wordstat"
"кровать домик";"кровать чердак домик";"847";"Яндекс.Wordstat"
"кровать домик";"кровать домик фото";"712";"Яндекс.Wordstat"
"кровать домик";"детская кровать домик своими руками";"653";"Яндекс.Wordstat"
"кровать домик купить в москве";"купить кровать домик в москве";"636";"Подсказки Яндекс"
"кровать домик";"кровать домик для детей от 3";"628";"Яндекс.Wordstat"
"кровать домик";"кровать домик размеры";"620";"Яндекс.Wordstat"
"кровать домик";"кровать домик от 3 лет";"619";"Яндекс.Wordstat"
"кровать домик";"кровать домик спб";"597";"Яндекс.Wordstat"
"продам кровать домик";"купить кровать домик для ребенка";"595";"Подсказки Яндекс"
"кровать домик";"кровать домик для детей купить";"585";"Яндекс.Wordstat"
"кровать домик";"кровать домик купить в москве";"577";"Яндекс.Wordstat"
"кровать домик";"кровать домик своими руками чертежи";"545";"Яндекс.Wordstat"
"кровать домик";"двухъярусная кровать домик для детей";"512";"Яндекс.Wordstat"
"кровать домик";"как сделать кровать домик";"501";"Яндекс.Wordstat"
"кровать домик";"кровать домик для детей от 3 лет";"443";"Яндекс.Wordstat"
"кровать домик";"детская двухъярусная кровать домик";"436";"Яндекс.Wordstat"
"кровать домик";"двухэтажная кровать домик";"412";"Яндекс.Wordstat"
"кровать домик";"кровать домик двухъярусная купить";"406";"Яндекс.Wordstat"
"двухъярусная кровать домик";"двухъярусная кровать домик купить";"406";"Подсказки Яндекс"
"кровать в виде домика";"кровать в виде домика в детскую";"406";"Подсказки Яндекс"
"кровать домик";"детская кровать домик чертеж";"394";"Яндекс.Wordstat"
"кровать домик";"детская кровать в виде домика";"388";"Яндекс.Wordstat"
"кровать домик";"кровать домик буквуд";"366";"Яндекс.Wordstat"
"кровать домик";"кровать домик екатеринбург";"357";"Яндекс.Wordstat"
"кровать домик";"кровать домик ру";"342";"Яндекс.Wordstat"
"кровать домик";"кровать домик для мальчика";"339";"Яндекс.Wordstat"
"кровать домик";"буквуд ру кровати домики";"332";"Яндекс.Wordstat"
"кровать домик";"кровать домик схема";"329";"Яндекс.Wordstat"
"кровать домик";"кровать домик из дерева";"326";"Яндекс.Wordstat"
"кровать домик";"кровать домик mama sale";"307";"Яндекс.Wordstat"
"кровать домик";"кровать домик отзывы";"303";"Яндекс.Wordstat"
"кровать домик чертеж";"кровать домик чертеж размеры";"303";"Подсказки Яндекс"
"кровать домик размеры";"кровать домик размеры чертеж";"303";"Подсказки Яндекс"
"кровать домик размеры";"кровать домик размеры чертежи";"303";"Подсказки Яндекс"
"кровать домик спб";"кровать домик спб купить";"295";"Подсказки Яндекс"
"продам кровать домик";"купить кровать домик в спб";"295";"Подсказки Яндекс"
"кровать домик своими руками";"сделать кровать домик своими руками";"284";"Подсказки Яндекс"
"кровать домик";"кровать домик из массива";"277";"Яндекс.Wordstat"
"кровать домик";"кровать домик недорого";"265";"Яндекс.Wordstat"
