"Маркерный запрос";"Фраза";"Частота";"Источник фразы"
"";"мебель для девочки";"19007";"Исходная фраза"
"мебель для девочки";"детская мебель для девочки";"6892";"Яндекс.Wordstat"
"мебель для девочки";"мебель для девочки в комнату";"5751";"Подсказки Яндекс"
"мебель для девочки";"мебель для комнаты девочки";"5144";"Яндекс.Wordstat"
"мебель для девочки";"мебель для девочки подростка";"3608";"Подсказки Яндекс"
"мебель для девочки";"мебель для подростка девочки";"3212";"Яндекс.Wordstat"
"мебель для девочки";"купить мебель для девочки";"2513";"Яндекс.Wordstat"
"мебель для девочки";"мебель для детской комнаты для девочки";"2483";"Яндекс.Wordstat"
"мебель для девочки";"подростковая мебель для девочек";"1820";"Яндекс.Wordstat"
"мебель для девочки";"игры для девочек мебель";"1302";"Яндекс.Wordstat"
"мебель для девочки";"мебель для комнаты подростка девочки";"1083";"Яндекс.Wordstat"
"мебель для девочки";"мебель для девочки домик";"905";"Яндекс.Wordstat"
"мебель для девочки";"мебель для девочки фото";"850";"Яндекс.Wordstat"
"мебель для девочки";"купить детскую мебель для девочки";"845";"Яндекс.Wordstat"
"мебель для девочки";"мебель для девочки в спальню";"771";"Подсказки Яндекс"
"мебель для девочки";"мебель для подростковой комнаты для девочки";"762";"Яндекс.Wordstat"
"мебель для девочки";"мебель для двух девочек";"738";"Яндекс.Wordstat"
"мебель для девочки";"мебель для спальни девочки";"714";"Яндекс.Wordstat"
"мебель для комнаты девочки";"мебель для комнаты девочки купить";"690";"Подсказки Яндекс"
"мебель для подростка девочки";"мебель для подростка девочки купить";"653";"Подсказки Яндекс"
"мебель для девочки";"игры для девочек мебель для дома";"624";"Яндекс.Wordstat"
"мебель для девочки";"купить мебель для комнаты девочки";"579";"Яндекс.Wordstat"
"мебель белая для девочки";"белая мебель для девочки";"558";"Подсказки Яндекс"
"мебель для девочки";"купить мебель для девочки подростка";"550";"Яндекс.Wordstat"
"мебель для девочки";"детская мебель для девочки подростка";"526";"Яндекс.Wordstat"
"мебель для девочки";"мебель белая для девочки";"496";"Яндекс.Wordstat"
