"Маркерный запрос";"Фраза";"Частота";"Источник фразы"
"";"обустройство детской комнаты";"610";"Исходная фраза"
"обустройство детской комнаты";"обустройство детской комнаты для двоих";"83";"Яндекс.Wordstat"
"обустройство детской комнаты";"обустройство детской комнаты для мальчика";"45";"Яндекс.Wordstat"
"обустройство детской комнаты";"обустройство детской комнаты для девочки";"44";"Яндекс.Wordstat"
"обустройство детской комнаты";"обустройство детской комнаты фото";"31";"Яндекс.Wordstat"
"обустройство детской комнаты";"обустройство детской комнаты для новорожденного";"29";"Яндекс.Wordstat"
"обустройство детской комнаты";"идеи обустройства детской комнаты";"19";"Яндекс.Wordstat"
"обустройство детской комнаты";"обустройство маленькой детской комнаты";"17";"Яндекс.Wordstat"
"обустройство детской комнаты";"обустройство детской комнаты для двоих детей";"16";"Яндекс.Wordstat"
"обустройство детской комнаты";"обустройство детской комнаты своими руками";"14";"Яндекс.Wordstat"
"обустройство детской комнаты";"обустройство детской комнаты 9 кв м";"12";"Яндекс.Wordstat"
"обустройство детской комнаты";"обустройство детской комнаты школьника";"12";"Яндекс.Wordstat"
"обустройство детской комнаты";"советы по обустройству детской комнаты";"11";"Яндекс.Wordstat"
"обустройство детской комнаты";"обустройство детской комнаты для двоих мальчиков";"10";"Яндекс.Wordstat"
"обустройство детской комнаты";"обустройство детской комнаты для школьника фото";"6";"Яндекс.Wordstat"
"обустройство детской комнаты";"обустройство детской комнаты видео";"5";"Яндекс.Wordstat"
"обустройство детской комнаты";"обустройство детской комнаты на даче";"1";"Подсказки Яндекс"
"обустройство детской комнаты";"обустройство детской комнаты по фен шуй";"1";"Подсказки Яндекс"
"обустройство детской комнаты";"обустройство детской комнаты по монтессори";"0";"Подсказки Яндекс"
"идеи обустройства детской комнаты";"идеи обустройства детской комнаты на 14 квадратных метров фото";"0";"Подсказки Яндекс"
"обустройство маленькой детской комнаты";"обустройство маленькой детской комнаты для школьника";"0";"Подсказки Яндекс"
"обустройство маленькой детской комнаты";"обустройство маленькой детской комнаты для девушки";"0";"Подсказки Яндекс"
"обустройство маленькой детской комнаты";"обустройство маленькой детской комнаты с балконом";"0";"Подсказки Яндекс"
