"Ключевое слово";"Слов";"Символов";"Частотность Весь мир";"""!Частотность !Весь !мир"""
"система отопления независимая";3;29;690;40
"система отопления зависимая и независимая";5;41;176;56
"зависимая и независимая система отопления";5;41;158;54
"независимая и зависимая система отопления";5;41;136;65
"независимая система отопления";3;29;609;39
"независимая схема присоединения системы отопления";5;49;89;19
"зависимая и независимая системы отопления";5;41;158;16
"независимая схема присоединения системы отопления к тепловым сетям";8;66;24;14
"зависимая независимая система отопления";4;39;170;11
"система отопления зависимая независимая";4;39;168;11
"схема подключения системы отопления независимая";5;47;40;10
"независимая схема подключения системы отопления";5;47;31;10
